pensionID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
level_0,id_type1,id_type2,id_type3,id_type4,id_type5,id_type6,cnt_1km_type1,cnt_1km_type2,cnt_1km_type3,cnt_1km_type4,cnt_1km_type5,cnt_1km_type6,cnt_2km_type1,cnt_2km_type2,cnt_2km_type3,cnt_2km_type4,cnt_2km_type5,cnt_2km_type6,cnt_3km_type1,cnt_3km_type2,cnt_3km_type3,cnt_3km_type4,cnt_3km_type5,cnt_3km_type6,cnt_5km_type1,cnt_5km_type2,cnt_5km_type3,cnt_5km_type4,cnt_5km_type5,cnt_5km_type6,cnt_10km_type1,cnt_10km_type2,cnt_10km_type3,cnt_10km_type4,cnt_10km_type5,cnt_10km_type6,cnt_15km_type1,cnt_15km_type2,cnt_15km_type3,cnt_15km_type4,cnt_15km_type5,cnt_15km_type6,cnt_20km_type1,cnt_20km_type2,cnt_20km_type3,cnt_20km_type4,cnt_20km_type5,cnt_20km_type6
pension1,0,1,2,3,4,5,0,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,2,3,0,1,1,1,14,20,7,21,13,3,25,52,17,32,23,5,45,239,78,95,103,13,53
pension10,54,55,56,57,58,59,0,0,1,0,0,0,0,0,1,2,0,0,1,0,2,2,0,1,5,0,7,6,0,1,283,87,90,140,6,2,590,182,194,320,16,9,689,215,227,360,21,22
pension11,60,61,62,63,64,65,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,3,2,0,1,1,0,5,30,8,19,17,4,19,108,38,50,51,6,39,439,134,162,241,16,55
pension12,66,67,68,69,70,71,0,0,0,0,0,0,11,2,2,2,0,0,31,11,11,5,1,0,32,12,12,9,1,6,43,16,18,16,4,9,67,23,34,38,8,17,302,80,87,114,14,22
pension13,72,73,74,75,76,77,0,0,0,0,0,0,12,6,3,2,0,2,30,11,10,6,1,3,33,11,11,7,3,4,48,16,18,13,6,10,72,20,29,34,8,17,146,47,67,64,14,25
pension14,78,79,80,81,82,83,4,2,2,3,0,0,10,3,5,5,1,0,11,3,5,6,1,0,52,18,25,24,3,1,303,89,102,142,10,6,618,186,189,313,14,12,654,203,214,340,18,27
pension15,84,85,86,87,88,89,1,0,0,0,0,0,2,0,0,2,0,0,3,0,2,2,0,2,13,3,8,12,2,2,240,65,65,85,6,5,539,168,173,283,12,15,687,213,222,361,21,21
pension17,96,97,98,99,100,101,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,9,2,0,1,1,1,13,20,6,11,3,2,35,57,17,38,31,8,49,92,27,58,43,10,55
pension18,102,103,104,105,106,107,0,0,1,0,0,0,1,0,2,1,0,0,1,0,2,2,0,0,5,0,3,2,0,4,81,27,35,35,4,20,385,120,133,207,14,31,647,200,210,330,18,40
pension19,108,109,110,111,112,113,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,2,0,1,4,0,6,6,0,1,281,86,89,130,6,2,590,182,194,322,16,12,704,222,232,366,22,24
pension2,6,7,8,9,10,11,0,0,2,0,0,0,5,2,6,4,1,1,13,5,8,9,2,1,39,15,15,20,2,2,246,75,67,94,6,5,547,167,175,282,13,10,683,215,222,348,21,18
pension20,114,115,116,117,118,119,1,0,0,0,0,0,1,0,0,0,0,1,5,2,3,1,1,1,7,3,4,1,2,1,14,3,7,4,4,3,86,24,29,28,9,13,100,29,39,33,11,22
pension21,120,121,122,123,124,125,0,0,2,0,0,0,5,2,6,4,1,1,13,5,8,9,2,1,39,15,15,20,2,2,246,75,67,94,6,5,547,167,175,282,13,10,683,215,222,348,21,18
pension22,126,127,128,129,130,131,0,0,1,0,0,0,27,9,9,4,1,1,27,9,9,4,1,3,29,9,12,6,2,4,56,16,23,15,6,5,69,17,30,26,9,14,90,28,40,43,12,20
pension24,138,139,140,141,142,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,29,9,12,5,2,1,51,14,20,15,5,7,69,17,28,23,9,16,115,35,45,43,13,20
pension26,150,151,152,153,154,155,0,0,2,0,0,0,5,2,6,4,1,1,13,5,8,9,2,1,39,15,15,20,2,2,246,75,67,94,6,5,547,167,175,282,13,10,683,215,222,348,21,18
pension27,156,157,158,159,160,161,0,0,0,0,0,0,1,0,1,0,1,1,3,0,1,0,1,1,4,0,1,0,1,6,27,5,16,7,2,19,39,9,24,20,5,41,69,19,38,29,8,48
pension28,162,163,164,165,166,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,33,11,10,7,4,4,43,13,16,16,5,12,70,19,27,33,9,19,125,39,59,55,13,25
pension29,168,169,170,171,172,173,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,1,0,3,3,0,2,2,0,3,36,11,23,20,4,21,205,69,69,92,7,36,502,162,183,296,16,55
pension30,174,175,176,177,178,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,1,3,21,7,12,5,3,24,54,17,39,27,8,47,84,24,52,39,10,52
pension31,180,181,182,183,184,185,0,0,2,0,0,0,5,2,6,4,1,1,13,5,8,9,2,1,39,15,15,20,2,2,246,75,67,94,6,5,547,167,175,282,13,10,683,215,222,348,21,18
pension32,186,187,188,189,190,191,0,0,0,2,0,0,2,0,2,3,0,1,3,0,5,3,0,1,39,14,17,20,2,2,299,92,99,156,7,2,594,184,194,319,16,7,687,216,223,357,20,22
pension33,192,193,194,195,196,197,0,0,0,0,0,0,4,4,2,2,0,2,30,11,9,6,2,2,31,11,10,7,3,4,47,16,17,12,6,11,72,20,30,34,8,16,146,47,65,61,14,25
pension35,204,205,206,207,208,209,0,1,1,1,0,0,0,1,1,2,0,0,7,4,3,4,1,0,24,8,7,8,1,3,47,17,20,17,4,9,85,30,44,38,9,12,349,107,112,165,14,20
pension36,210,211,212,213,214,215,0,0,0,1,0,0,0,0,0,1,0,0,1,1,2,2,0,0,38,15,14,9,2,4,43,16,19,17,4,9,88,31,38,37,8,16,333,102,99,132,13,20
pension37,216,217,218,219,220,221,1,0,0,0,0,0,1,0,0,0,0,0,14,5,6,1,1,0,14,5,7,2,1,0,30,11,19,13,4,13,38,12,24,18,6,28,45,13,35,22,7,40
pension38,222,223,224,225,226,227,3,0,1,1,0,0,30,11,10,4,1,0,30,11,10,6,1,0,32,12,12,8,2,6,43,15,16,12,5,9,68,21,33,35,8,17,119,38,64,66,13,22
pension39,228,229,230,231,232,233,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,1,1,1,6,22,7,13,5,3,24,55,17,39,27,8,47,84,24,52,39,10,52
pension4,18,19,20,21,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,2,3,0,3,59,22,32,24,4,10,317,99,98,144,10,18,668,204,221,357,23,21
pension40,234,235,236,237,238,239,4,2,2,1,1,0,4,2,2,1,1,0,5,2,3,1,1,1,6,2,4,1,1,1,24,4,9,6,4,4,64,18,26,25,8,12,100,28,40,32,11,22
pension41,240,241,242,243,244,245,28,11,9,5,1,0,30,11,10,5,1,0,31,11,10,6,1,0,31,11,10,7,3,3,47,16,17,12,6,10,67,20,30,33,8,16,120,37,57,57,13,23
pension42,246,247,248,249,250,251,0,0,2,0,0,0,5,2,6,4,1,1,13,5,8,9,2,1,39,15,15,20,2,2,246,75,67,94,6,5,547,167,175,282,13,10,683,215,222,348,21,18
pension43,252,253,254,255,256,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,6,47,15,20,24,4,14,108,32,45,55,9,20,401,125,143,179,18,25
pension44,258,259,260,261,262,263,0,0,0,0,0,0,1,0,2,0,0,0,6,2,3,1,0,0,14,5,7,2,1,2,30,11,21,15,4,13,39,12,25,18,7,29,45,13,33,22,7,42
pension45,264,265,266,267,268,269,10,3,2,4,0,2,14,4,5,6,0,2,15,5,11,12,2,4,15,5,11,13,2,10,33,10,22,15,5,16,38,11,24,16,6,38,60,16,35,22,8,48
pension46,270,271,272,273,274,275,4,2,2,1,1,0,4,2,2,1,1,1,5,2,3,1,1,1,8,3,5,1,1,1,24,4,8,9,4,4,89,25,32,29,9,13,100,29,41,33,11,22
pension47,276,277,278,279,280,281,1,0,0,0,0,0,1,0,0,0,0,1,3,1,1,0,1,1,7,3,4,1,2,1,14,3,7,4,5,3,86,24,29,27,9,11,99,29,39,33,10,21
pension48,282,283,284,285,286,287,0,0,0,0,0,0,2,1,1,0,1,0,3,1,2,0,1,1,8,3,4,1,2,1,15,3,7,4,5,6,88,24,31,30,9,14,106,32,43,36,11,22
pension49,288,289,290,291,292,293,14,7,5,7,1,0,15,7,5,9,1,0,15,7,6,11,1,0,16,7,11,15,1,0,51,17,28,41,5,5,177,50,66,95,10,12,215,60,87,104,14,26
pension50,294,295,296,297,298,299,1,1,3,3,0,0,1,1,4,3,0,0,5,2,6,5,1,1,24,10,13,12,3,1,112,39,47,44,5,5,450,142,146,229,11,10,665,208,215,344,20,16
pension51,300,301,302,303,304,305,0,0,0,0,0,0,2,0,1,2,0,0,2,1,2,2,0,3,36,14,13,9,2,4,49,17,21,18,5,11,90,31,46,50,9,16,355,107,119,172,14,21
pension52,306,307,308,309,310,311,0,0,1,1,0,0,0,0,1,1,0,0,1,0,2,2,0,3,6,1,6,2,0,4,72,22,35,34,5,21,372,116,127,197,14,33,647,200,207,329,18,45
pension53,312,313,314,315,316,317,1,1,3,3,0,0,1,1,4,3,0,0,5,2,6,5,1,1,24,10,13,12,3,1,112,39,47,44,5,5,450,142,146,229,11,10,665,208,215,344,20,16
pension54,318,319,320,321,322,323,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,2,1,0,4,9,0,5,16,0,17,94,28,51,57,9,21,426,132,149,203,21,28
pension55,324,325,326,327,328,329,0,0,2,0,0,0,5,2,6,4,1,1,13,5,8,9,2,1,39,15,15,20,2,2,246,75,67,94,6,5,547,167,175,282,13,10,683,215,222,348,21,18
pension56,330,331,332,333,334,335,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,1,0,1,1,1,15,30,10,14,7,2,34,48,13,37,23,7,48,85,24,53,39,10,52
pension57,336,337,338,339,340,341,0,0,0,0,0,0,1,0,0,1,0,3,1,0,0,1,0,3,1,0,0,2,0,3,5,0,4,6,0,9,172,57,68,87,6,35,667,201,220,336,22,57
pension58,342,343,344,345,346,347,0,0,0,0,0,0,4,2,3,1,1,1,4,2,3,1,1,1,9,3,5,1,1,1,24,4,8,10,5,5,95,28,36,29,10,16,101,29,43,37,11,23
pension59,348,349,350,351,352,353,1,0,0,0,0,0,2,0,0,0,1,2,17,6,7,10,2,2,40,15,24,24,3,2,291,92,93,141,7,2,617,193,203,321,17,8,684,215,223,356,20,18
pension6,30,31,32,33,34,35,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,2,0,3,93,36,36,59,3,9,484,160,174,297,15,30,667,204,224,347,19,44
pension60,354,355,356,357,358,359,0,0,0,0,0,0,1,0,2,0,0,0,6,2,3,1,0,0,14,5,7,2,1,2,30,11,21,15,4,13,39,12,25,18,7,29,45,13,33,22,7,42
pension61,360,361,362,363,364,365,0,0,1,1,0,0,0,0,1,1,0,0,1,0,2,2,0,3,6,1,6,2,0,4,76,23,35,34,5,21,372,116,127,198,14,33,647,200,208,329,18,45
pension62,366,367,368,369,370,371,0,0,2,2,0,0,13,4,7,8,0,1,14,4,7,8,0,2,16,5,11,13,2,7,21,5,17,14,4,16,50,14,29,19,7,37,55,15,33,21,7,45
pension63,372,373,374,375,376,377,1,1,3,3,0,0,1,1,4,3,0,0,4,2,6,4,0,1,24,10,13,12,3,1,100,34,45,42,5,5,433,135,140,217,11,10,651,203,214,345,20,16
pension64,378,379,380,381,382,383,0,0,1,0,0,0,0,1,1,2,0,0,3,3,3,3,1,0,36,13,13,9,2,3,44,16,20,17,4,10,86,30,42,37,9,12,345,106,109,161,14,20
pension65,384,385,386,387,388,389,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,3,1,0,5,2,9,4,1,1,27,10,20,17,3,8,102,37,45,40,6,24,393,122,137,197,15,41
pension67,396,397,398,399,400,401,8,4,5,5,1,1,9,5,8,6,1,1,16,7,12,10,2,1,22,8,16,14,2,1,89,31,36,35,4,7,388,122,134,212,14,22,644,200,207,328,18,36
pension68,402,403,404,405,406,407,0,0,2,0,0,0,5,2,6,4,1,1,13,5,8,9,2,1,39,15,15,20,2,2,246,75,67,94,6,5,547,167,175,282,13,10,683,215,222,348,21,18
pension7,36,37,38,39,40,41,5,3,2,1,1,0,6,4,4,2,1,0,6,4,4,2,1,0,8,4,6,5,1,0,57,22,26,22,4,8,86,33,51,42,8,11,385,120,128,209,14,17
pension70,414,415,416,417,418,419,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,5,2,3,2,1,2,21,7,12,6,3,18,43,14,28,18,5,35,105,33,58,50,10,49
pension71,420,421,422,423,424,425,0,0,2,1,0,0,1,1,5,3,0,0,7,3,6,6,1,1,18,7,11,11,2,1,195,54,53,63,5,5,473,149,162,258,12,10,673,211,217,341,20,16
pension72,426,427,428,429,430,431,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,5,1,4,6,0,3,59,22,29,25,4,11,285,80,83,104,10,16,579,177,190,315,20,21
pension73,432,433,434,435,436,437,0,0,1,0,0,1,0,0,4,1,0,1,10,2,16,8,1,1,116,32,40,42,4,6,142,40,50,63,8,9,163,49,66,82,9,10,177,53,73,106,10,19
pension74,438,439,440,441,442,443,0,0,1,0,0,0,7,3,3,2,1,0,9,4,4,3,1,0,9,5,8,8,1,1,79,30,35,33,5,6,312,99,95,120,9,11,625,191,202,330,22,19
pension75,444,445,446,447,448,449,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,4,1,1,2,3,0,44,14,16,10,6,9,69,19,24,28,8,15,109,33,48,42,11,24
pension76,450,451,452,453,454,455,1,0,2,1,0,0,8,4,3,4,1,0,8,4,4,4,1,0,10,5,8,9,1,0,56,22,27,24,4,8,266,74,74,85,10,11,528,158,174,288,17,19
pension77,456,457,458,459,460,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,1,1,1,15,23,6,15,5,2,34,49,13,39,25,7,48,85,24,53,39,10,52
pension78,462,463,464,465,466,467,1,0,0,1,0,0,1,0,0,1,0,0,4,1,4,4,0,0,9,4,5,5,1,3,58,22,27,24,4,10,233,67,69,71,10,16,485,145,158,256,15,20
pension79,468,469,470,471,472,473,24,9,6,3,1,0,27,9,9,4,1,1,27,9,9,4,1,3,29,9,12,5,2,4,51,14,20,13,5,5,67,17,30,26,8,14,86,24,39,43,11,20
pension8,42,43,44,45,46,47,4,1,2,1,1,0,12,4,7,5,2,1,14,7,10,8,2,1,40,15,17,20,3,2,281,88,87,122,7,2,616,192,200,314,17,6,682,215,222,348,20,17
pension80,474,475,476,477,478,479,0,0,1,0,0,0,1,0,2,0,0,1,1,0,2,2,0,1,5,0,6,6,1,2,281,88,87,127,7,5,620,192,204,325,17,14,702,222,229,367,22,23
pension81,480,481,482,483,484,485,2,0,0,1,0,0,2,0,0,2,0,0,3,0,3,2,0,2,18,5,13,15,2,2,247,75,71,93,6,5,554,173,182,297,14,15,691,215,223,361,21,21
pension82,486,487,488,489,490,491,0,0,0,0,0,0,0,1,1,2,0,0,1,1,2,3,0,0,39,15,15,9,2,4,44,16,19,18,4,10,88,31,43,39,9,15,347,106,109,161,14,20
pension83,492,493,494,495,496,497,0,0,1,0,0,0,7,3,3,2,1,0,8,4,4,4,1,0,9,5,8,8,1,1,79,30,35,33,5,6,313,99,97,126,10,11,628,192,203,329,21,17
pension84,498,499,500,501,502,503,0,0,0,0,0,0,1,1,3,3,0,0,3,1,5,4,0,0,16,6,9,11,3,1,50,19,32,31,4,6,327,104,112,157,10,11,627,192,206,334,20,16
pension85,504,505,506,507,508,509,13,4,3,3,1,1,13,4,6,3,1,1,13,4,6,3,1,1,15,4,7,3,1,5,22,4,10,4,2,17,37,9,18,15,3,24,57,15,31,30,7,48
pension86,510,511,512,513,514,515,0,0,0,1,0,0,3,1,2,2,1,0,31,11,9,6,3,0,31,11,10,7,3,3,46,16,17,12,6,10,71,20,29,33,8,15,143,47,62,58,13,25
pension87,516,517,518,519,520,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,13,6,6,2,1,1,20,7,11,5,3,11,41,13,34,24,6,28,67,20,44,34,9,47
pension88,522,523,524,525,526,527,0,0,0,0,0,0,11,3,7,8,0,1,15,4,7,8,0,1,17,5,11,13,2,7,21,5,17,14,4,18,51,14,29,19,7,37,60,16,35,22,8,48
pension89,528,529,530,531,532,533,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0,1,0,0,17,4,8,9,1,8,21,5,15,14,3,18,52,14,30,19,7,37,56,15,33,22,7,44
pension90,534,535,536,537,538,539,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,2,0,1,4,0,7,6,0,1,281,86,90,131,6,2,590,182,194,322,16,12,703,222,232,366,22,23
