"행정구역(시군구)별",2016,2017,2018,2019,2020,2021,2022
"행정구역(시군구)별",총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명)
"전국",51696216,51778544,51826059,51849861,51829023,51638809,51439038
"서울특별시",9930616,9857426,9765623,9729107,9668465,9509458,9428372
"종로구",152737,154770,153065,151290,149384,144683,141379
"중구",125249,125709,125725,126171,125240,122499,120437
"용산구",230241,229161,228999,228670,230040,222953,218650
"성동구",299259,304808,308221,300889,293556,285990,281000
"광진구",357215,357703,355559,351350,346682,339996,337416
"동대문구",355069,350647,348052,346194,342837,337400,336644
"중랑구",411005,408226,403209,397015,394702,387350,385318
"성북구",450355,444055,435868,442650,437153,430528,430397
"강북구",327195,324479,319164,313954,308055,299182,293660
"도봉구",348220,344166,339413,333362,325257,317366,311694
"노원구",567581,554403,543752,532905,523037,510956,503734
"은평구",491476,486794,483197,480032,479835,473307,466746
"서대문구",314194,312800,310313,309397,312173,304819,306337
"마포구",379892,374915,375077,374035,371890,368905,364638
"양천구",477739,471154,464185,458165,454251,447302,440881
"강서구",595485,601691,596949,591796,580185,574315,569166
"구로구",417551,410742,404497,406664,404408,396754,395315
"금천구",235386,235154,233917,232810,231733,230811,229642
"영등포구",370613,368550,367778,367678,379480,376837,375675
"동작구",400997,396217,396203,395963,391220,385483,380596
"관악구",506851,503297,501957,500094,495060,485699,486752
"서초구",447192,441102,433951,430826,425126,412279,404325
"강남구",567115,556164,542364,545169,539231,533042,529102
"송파구",657831,664496,666635,675961,667960,658338,658801
"강동구",444168,436223,427573,436067,459970,462664,460067
"부산광역시",3498529,3470653,3441453,3413841,3391946,3350380,3317812
"중구",45208,44218,42795,41910,41523,40524,39689
"서구",112973,110039,110534,108229,108135,105164,105192
"동구",89826,88868,86912,88165,88901,87679,86462
"영도구",126362,123521,120109,116711,113342,110638,108156
"부산진구",376526,371703,362357,357880,359886,353159,355917
"동래구",272745,270727,266515,271247,270745,266866,273226
"남구",278779,273854,279917,274480,267731,262069,256333
"북구",310202,302924,296952,291132,283952,283211,278857
"해운대구",419853,412039,409347,406102,402169,396438,386785
"사하구",334603,333301,327791,321004,311757,306003,301987
"금정구",244624,244469,242956,239062,232666,228049,221256
"강서구",108909,117382,122957,129566,137957,142918,143207
"연제구",207268,206742,207840,209395,209157,207144,203536
"수영구",179324,179996,176246,176148,176894,175095,174806
"사상구",232800,229219,223361,218094,212586,208298,203789
"기장군",158527,161651,164864,164716,174545,177125,178614
"대구광역시",2484557,2475231,2461769,2438031,2418346,2385412,2363691
"중구",79712,78986,79401,77421,76547,74791,80199
"동구",351352,349379,351291,345469,341920,341436,339530
"서구",199507,191992,184372,175277,170700,164528,159827
"남구",156433,152845,150501,148113,146632,143175,141519
"북구",440383,441375,439489,437710,440263,437008,430912
"수성구",447011,439211,432759,428614,424314,417097,411553
"달서구",591891,578068,573413,568887,558631,544926,536989
"달성군",218268,243375,250543,256540,259339,262451,263162
"인천광역시",2943069,2948542,2954642,2957026,2942828,2948375,2967314
"중구",115249,117999,122499,135135,139729,143633,152931
"중구영종출장소",-,-,-,-,0,-,0
"중구용유출장소",-,-,-,-,0,-,0
"동구",71014,69487,66233,64427,62542,61486,58999
"남구",417103,419267,-,-,-,-,-
"미추홀구",-,-,416542,408862,404343,407464,406004
"연수구",328627,335142,346359,366550,387450,389644,385796
"남동구",530982,536578,537161,532704,525354,518272,506181
"부평구",549716,539941,524640,511577,494962,486765,489118
"계양구",330284,323784,312680,303471,296750,295696,288856
"서구",510733,516017,538596,544556,542040,555380,589013
"서구검단출장소",-,-,-,-,0,-,0
"강화군",68010,68754,68896,69178,69203,69693,69803
"옹진군",21351,21573,21036,20566,20455,20342,20613
"광주광역시",1469214,1463770,1459336,1456468,1450062,1441611,1431050
"동구",95791,95448,94475,98585,102897,103470,105909
"서구",309579,306957,304172,300975,296576,291231,287401
"남구",219729,218454,216369,218060,214579,215575,212379
"북구",441066,438780,439773,433533,430431,427114,424707
"광산구",403049,404131,404547,405315,405579,404221,400654
"대전광역시",1514370,1502227,1489936,1474870,1463882,1452251,1446072
"동구",234959,230516,229071,226771,223021,222222,219751
"중구",252490,248933,244421,240473,235550,230341,227108
"서구",491011,487448,484663,481222,477880,473365,470374
"유성구",343222,348428,349790,349373,351047,351277,356093
"대덕구",192688,186902,181991,177031,176384,175046,172746
"울산광역시",1172304,1165132,1155623,1148019,1136017,1121592,1110663
"중구",242536,238652,231973,223581,217595,212883,208132
"남구",340714,335439,330732,323819,320064,313819,310638
"동구",174514,169605,164642,159656,156806,154096,151711
"북구",195285,200718,206434,217796,219014,218735,218670
"울주군",219255,220718,221842,223167,222538,222059,221512
"세종특별자치시",243048,280100,314126,340575,355831,371895,383591
"세종시",243048,280100,314126,340575,355831,371895,383591
"경기도",12716780,12873895,13077153,13239666,13427014,13565450,13589432
"수원시",1194041,1202628,1201166,1194465,1186078,1183714,1190964
"장안구",296479,293828,286433,278377,273661,273835,270524
"권선구",358393,365653,377647,371754,368645,364136,367446
"팔달구",198515,193311,180974,175866,174930,182321,192610
"영통구",340654,349836,356112,368468,368842,363422,360384
"성남시",974580,967510,954347,942724,940064,930948,922518
"수정구",232841,236932,234133,234678,241701,235988,230460
"중원구",237909,230366,224885,220041,216131,210777,210505
"분당구",503830,500212,495329,488005,482232,484183,481553
"의정부시",438457,441584,447026,451868,461710,463661,463724
"안양시",597414,587764,576831,567044,550027,547178,548228
"만안구",252353,254977,251512,244235,239413,238311,234394
"동안구",345061,332787,325319,322809,310614,308867,313834
"부천시",851380,850329,843768,829996,818383,806067,790128
"광명시",339484,332790,326841,316552,298599,292893,287945
"평택시",470832,481530,495642,513027,537307,564288,578529
"송탄출장소",-,-,-,-,0,-,0
"안중출장소",-,-,-,-,0,-,0
"동두천시",98277,97071,96226,94768,94353,93592,91546
"안산시",689859,677710,660343,650918,654915,652726,641660
"상록구",375857,370744,356311,344613,351888,350668,344664
"단원구",314002,306966,304032,306305,303027,302058,296996
"고양시",1039684,1041983,1044189,1066351,1079216,1079353,1076535
"덕양구",446233,448684,450449,466157,476962,482927,490088
"일산동구",292612,293673,296223,297671,299716,298873,296122
"일산서구",300839,299626,297517,302523,302538,297553,290325
"과천시",63778,57527,58142,58289,63231,73345,78137
"구리시",193763,200042,203553,199265,197454,191948,188701
"남양주시",662154,665321,681828,701830,713321,733798,737353
"풍양출장소",-,-,-,-,0,-,0
"오산시",208656,213437,220070,226379,229725,229983,229849
"시흥시",402888,419664,448687,473682,500895,512030,512912
"군포시",284890,281205,276916,275852,273791,268535,266213
"의왕시",156763,155767,153932,161153,163795,163356,160221
"하남시",211101,232487,254415,272455,293452,320087,326059
"용인시",991126,1004081,1035126,1059609,1074176,1077508,1074971
"처인구",226130,231553,249118,253896,257498,260198,259288
"기흥구",417163,419429,427719,436679,440835,441742,438235
"수지구",347833,353099,358289,369034,375843,375568,377448
"파주시",430781,437848,451848,454040,465617,483245,495315
"이천시",210359,213142,214206,215834,218388,223177,222721
"안성시",182896,182786,183579,183405,187012,189534,188842
"김포시",363443,392092,423170,437221,473970,486508,484267
"화성시",640890,691086,758722,815396,855248,887015,910814
"화성시동부출장소",-,-,-,-,0,-,0
"화성시동탄출장소",-,-,-,-,0,-,0
"광주시",327723,345947,363782,372654,382054,387289,391462
"양주시",205513,212146,216951,222314,230359,236368,243432
"포천시",154763,152925,150676,148379,147274,148939,146701
"여주시",111563,111984,111525,111083,111897,112150,113150
"연천군",45907,45431,44633,43824,43516,42721,42062
"가평군",62448,62973,62918,62415,62377,62264,62150
"양평군",111367,115105,116095,116874,118810,121230,122323
"강원특별자치도",1550806,1550142,1543052,1541502,1542840,1538492,1536498
"춘천시",280707,280514,280640,281291,282765,284594,286664
"원주시",337979,341337,344070,349215,354376,357757,360807
"강릉시",213846,213952,212957,213442,213321,212965,211381
"동해시",93297,92851,91272,90522,90593,90081,89426
"태백시",47070,45888,44858,43866,42719,40844,39428
"속초시",81793,82273,81682,81786,82665,82791,82806
"삼척시",69599,68514,68326,67228,65243,63429,63455
"홍천군",70076,70340,69949,69150,69242,68365,67977
"횡성군",45991,46281,46726,46575,46472,46481,46532
"영월군",40073,40067,39730,39127,38662,37904,37728
"평창군",43318,43092,42610,42106,41681,40996,40990
"정선군",38718,38173,37700,37271,36870,35675,34931
"철원군",48013,47185,46413,45584,44699,43340,42256
"화천군",26264,26022,25084,24917,24857,24195,23388
"양구군",24010,23835,23408,22764,22278,21748,21383
"인제군",32720,32582,32136,31672,31694,32165,32206
"고성군",30114,30029,28144,27260,26757,27249,27274
"양양군",27218,27207,27347,27726,27946,27913,27866
"충청북도",1591625,1594432,1599252,1600007,1600837,1597427,1595058
"청주시",835197,835590,837749,839566,844993,848482,849573
"서원구",217120,216782,209404,203209,194720,192899,191273
"청원구",190813,193767,197225,195868,194373,194327,193824
"상당구",173701,171129,176818,178352,190034,193827,196425
"흥덕구",253563,253912,254302,262137,265866,267429,268051
"충주시",208350,208316,210504,210737,210186,209358,208277
"제천시",136517,136432,135386,134617,133018,131591,130988
"보은군",34221,34053,33680,32949,32412,31878,31455
"옥천군",52267,51766,51465,51023,50527,50093,49520
"영동군",50552,50240,49715,48738,47475,45773,44956
"증평군",37308,37783,37317,37392,36807,36426,37262
"진천군",69950,73677,78218,81084,83718,85176,86147
"괴산군",38973,39054,39133,39163,39393,38122,37055
"음성군",97787,97306,95830,94982,93153,92197,92058
"단양군",30503,30215,30255,29756,29155,28331,27767
"충청남도",2096727,2116770,2126282,2123709,2121029,2119257,2123037
"당진시",166630,167439,167770,167042,166249,167092,168253
"천안시",617955,631531,646075,652258,658808,658486,657559
"동남구",258919,255878,257978,259411,258009,255292,255647
"서북구",359036,375653,388097,392847,400799,403194,401912
"공주시",109931,108432,107581,106474,104545,103145,102571
"보령시",103873,103198,101990,101114,100229,98408,97157
"아산시",302929,311453,312822,314395,316129,324580,334539
"서산시",170788,171678,174162,174690,175591,176645,176413
"논산시",123213,122240,120230,118842,116675,114483,112617
"계룡시",42634,43967,43731,42971,42822,43331,44475
"금산군",54612,53894,53222,52257,51413,50477,50092
"부여군",70187,69086,68078,66740,65354,63774,62343
"서천군",56012,55175,53922,52805,51866,50745,49964
"청양군",32753,32837,32296,31717,30948,30440,30266
"홍성군",99971,101570,101082,100423,100102,99324,98068
"예산군",81339,80338,80083,79238,78084,76801,77385
"태안군",63900,63932,63238,62743,62214,61526,61335
"전라북도",1864791,1854607,1836832,1818917,1804104,1786855,1769607
"전주시",651744,648964,651091,654394,657432,657269,651495
"완산구",361845,359012,345065,338839,339718,335804,332573
"덕진구",289899,289952,306026,315555,317714,321465,318922
"전주시효자출장소",-,-,-,-,0,-,0
"군산시",277551,274997,272645,270131,267859,265304,262467
"익산시",300479,300187,294062,287771,282276,278113,273697
"익산시함열출장소",-,-,-,-,0,-,0
"정읍시",115173,113776,112169,110541,108508,106487,105081
"남원시",84188,83281,82554,81441,80662,79431,77948
"김제시",87782,86926,85331,83895,82450,80913,81455
"완주군",95480,95975,94444,92220,91609,91142,92422
"진안군",26069,26271,25963,25697,25394,24987,24550
"무주군",24949,24809,24589,24303,24036,23748,23489
"장수군",23628,23003,23221,22441,22085,21695,21336
"임실군",30197,30162,30072,28902,27314,26730,26508
"순창군",29949,29698,29209,28382,27810,26855,26727
"고창군",60597,60472,57041,55504,54529,53386,52338
"부안군",57005,56086,54441,53295,52140,50795,50094
"전라남도",1903914,1896424,1882970,1868745,1851549,1832803,1817697
"목포시",237739,234379,232327,229861,224044,218589,216939
"여수시",288988,286382,283300,282786,280242,276762,274765
"순천시",278548,279331,279389,279598,282189,281436,278737
"나주시",104376,110110,113839,114664,115613,116726,116456
"광양시",155580,155857,156564,156750,151769,150531,152168
"담양군",47229,47285,46917,46535,46280,46180,45792
"곡성군",30400,30131,29624,28887,28039,27535,27060
"구례군",27412,27525,27117,26563,25719,25235,24655
"고흥군",67656,66736,65777,64913,63922,62762,61880
"보성군",44469,43755,42803,41420,40482,39375,38471
"화순군",65303,64680,63933,62737,62522,62624,62024
"장흥군",40669,40136,39312,38563,37800,36547,35650
"강진군",37753,36868,36144,35286,34597,33753,33177
"해남군",75121,73604,71901,70354,68806,67166,65831
"영암군",57045,55616,54731,54593,53699,52937,52395
"무안군",82109,82872,81991,81105,86132,91107,90608
"함평군",34397,34328,33420,32861,32050,31274,30784
"영광군",55618,54774,54127,53852,53099,51985,52197
"장성군",46104,46111,45795,45739,44464,43365,43146
"완도군",52668,52109,51477,50689,49916,48631,47597
"진도군",32078,31765,31219,30715,31227,30066,29507
"신안군",42652,42070,41263,40274,38938,38217,37858
"경상북도",2700398,2691706,2676831,2665836,2639422,2626609,2600492
"포항시",516775,513832,510013,507025,502916,503852,496650
"남구",244748,242469,239400,235633,230422,230801,227486
"북구",272027,271363,270613,271392,272494,273051,269164
"경주시",259452,257903,256864,255402,253502,251889,249607
"김천시",142256,142908,141104,141229,140548,140239,139324
"안동시",168798,166272,162180,160052,158907,156972,154610
"구미시",419891,421799,421494,419742,416328,412581,408110
"영주시",109247,108371,106801,105067,103119,101942,100749
"영천시",100521,100615,101595,102470,102015,101888,101088
"상주시",101799,100947,100297,100688,97228,95566,94823
"문경시",74702,73294,71874,72242,71406,71154,70373
"경산시",258037,259485,261093,263185,263728,268369,267725
"군위군",24171,24215,23919,23843,23256,22945,23340
"의성군",54014,53474,52944,52595,51724,50632,50186
"청송군",26301,26006,25678,25416,25044,24539,24295
"영양군",17713,17479,17356,16993,16692,16320,16022
"영덕군",39052,38529,38108,37361,36313,35314,34650
"청도군",43564,43346,43057,42910,42263,41891,41614
"고령군",34257,33768,32969,32373,31361,30626,30353
"성주군",45205,45138,44672,44015,43414,42842,42566
"칠곡군",123199,120864,118828,117047,114758,113822,112487
"예천군",46166,49253,53274,55100,55613,55739,55755
"봉화군",33539,33259,32843,32150,31494,30762,30139
"울진군",51738,50974,50036,49314,48716,47858,47030
"울릉군",10001,9975,9832,9617,9077,8867,8996
"경상남도",3373871,3380404,3373988,3362553,3340216,3314183,3280493
"창원시",1063907,1057032,1053601,1044740,1036738,1032741,1021487
"의창구",252435,253349,252896,258582,262408,218027,215823
"성산구",231571,227942,227337,220945,214570,251562,248512
"마산합포구",181797,181917,180535,177784,175716,181322,179496
"마산회원구",210791,203926,199457,193807,191289,186881,183662
"진해구",187313,189898,193376,193622,192755,194949,193994
"진주시",346739,346681,345987,347334,348096,347097,343782
"통영시",138160,135833,133720,131404,128293,125383,122681
"사천시",114912,114252,113888,111925,111105,109953,109369
"사천남양출장소",-,-,-,-,0,-,0
"김해시",529422,532132,533672,542455,542338,537673,535129
"장유출장소",-,-,-,-,0,-,0
"밀양시",108354,107898,106744,105552,104831,103525,102945
"거제시",257183,254073,250516,248276,245754,241216,236662
"양산시",317037,338535,348639,350759,352229,354726,353792
"양산시웅상출장소",-,-,-,-,0,-,0
"의령군",28111,27849,27667,27168,26800,26322,26061
"함안군",68937,68207,67025,65700,64182,62547,61456
"창녕군",63982,64101,63396,62331,61301,60129,58372
"고성군",54703,54060,53243,52276,51361,50478,50448
"남해군",45129,44642,43990,43622,42958,42266,41579
"하동군",49622,48831,47533,46574,44785,43449,42465
"산청군",36098,36340,35952,35417,34857,34360,34028
"함양군",40241,40175,40044,39637,39080,38310,37708
"거창군",63308,62763,62455,62179,61502,61073,60387
"합천군",48026,47000,45916,45204,44006,42935,42142
"제주특별자치도",641597,657083,667191,670989,674635,676759,678159
"제주시",470665,478700,485946,489405,492466,493096,493389
"서귀포시",170932,178383,181245,181584,182169,183663,184770
